11014,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,NULL
17601,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL
1,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL
19364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
17612,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
17613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17611,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,3
17621,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
17622,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19366,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL
19367,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL
19368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,2
12,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,2
11,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,2
9,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,2
25331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25838,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1
10866,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10868,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25832,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
